P89 M,P89 P,P93 M,P93 P,CP01 M,CP01 P,CH03 M,CH03 P,P07 M,P07 P,W04 M,W04 P,P10 M,P10 P,S21 M,S21 P
-1.98,-0.669154388,-1.641,-2.745719175,-2.335,-1.07612456,-3.4,-3.486737726,-2.61,-2.501523016,-3.847,-3.560103596,-3.675,-3.031545024,,
-1.842,-0.532140505,-0.391,-1.229606274,-2.094,-0.841022972,-3.873,-3.746020659,-0.874,-0.754089687,-3.672,-3.385180252,-3.659,-3.020097776,,
-2.221,-0.911140505,-1.654,-2.148431405,-2.13,-0.877022972,-3.23,-3.316737726,-1.957,-1.858081853,-3.673,-3.386180252,-3.666,-3.028191626,,
-2.28,-0.974691823,-1.299,-2.408873804,-2.166,-0.920922995,-3.858,-3.731020659,-0.084,0.004670243,-3.597,-3.310027962,-3.671,-3.037793732,,
-2.248,-0.943747416,-0.347,-1.22577767,-2.241,-1.004076596,-3.282,-3.368737726,-0.704,-0.625416417,-3.642,-3.355027962,-3.68,-3.046793732,,
-2.114,-0.809747416,-1.37,-2.541996202,-2.215,-0.980030714,-3.863,-3.755272316,-3.188,-3.102382319,-3.23,-2.943027962,-3.815,-3.178514284,,
-2.227,-0.928728363,-1.332,-2.50664346,-2.345,-1.118507733,-3.883,-3.775272316,-3.057,-2.965649817,-3.347,-3.060781262,-3.814,-3.177514284,,
-2.175,-0.881891101,-1.887,-2.986923647,-2.404,-1.186238894,-3.3,-3.418914486,-2.88,-2.793562501,-3.662,-3.375781262,-3.822,-3.18663586,,
-2.151,-0.859084547,-1.479,-2.567153782,-2.459,-1.248058878,-3.883,-3.76786144,-3.336,-3.252498143,-3.384,-3.097861881,-3.629,-3.002705268,,
-2.061,-0.769084547,-1.501,-2.627361714,-2.425,-1.220987549,-3.883,-3.76786144,-3.474,-3.394142805,-3.218,-2.931861881,-3.632,-3.005705268,,
-2.039,-0.753816996,-1.24,-2.41464346,-2.4,-1.214936375,-3.185,-3.303914486,-3.079,-3.002603193,-3.153,-2.867654354,-3.604,-2.978850531,,
-2.191,-0.907083575,-1.455,-2.601219227,-2.259,-1.083789114,-3.883,-3.760349719,-2.626,-2.555976893,-3.572,-3.286654354,-3.65,-3.023705268,,
